Dark_Channel_Value, Transmission_Rate, Output_Value
215, 0.3676, 0.0000
216, 0.3647, 0.0000
217, 0.3618, 0.0000
218, 0.3588, 0.0000
219, 0.3559, 0.0000
220, 0.3529, 0.0000
221, 0.3500, 0.0000
222, 0.3471, 0.0000
223, 0.3441, 0.0000
224, 0.3412, 0.0000
225, 0.3382, 0.0000
226, 0.3353, 0.0000
227, 0.3324, 0.0000
228, 0.3294, 0.0000
229, 0.3265, 0.0000
230, 0.3235, 0.0000
231, 0.3206, 0.0000
232, 0.3176, 0.0000
233, 0.3147, 0.0000
234, 0.3118, 0.0000
235, 0.3088, 0.0000
236, 0.3059, 0.0000
237, 0.3029, 0.0000
238, 0.3000, 0.0000
239, 0.2971, 0.0000
240, 0.2941, 0.0000
241, 0.2912, 0.0000
242, 0.2882, 0.0000
243, 0.2853, 0.0000
244, 0.2824, 0.0000
245, 0.2794, 0.0000
246, 0.2765, 0.0000
247, 0.2735, 0.0000
248, 0.2706, 0.0000
249, 0.2676, 0.0000
250, 0.2647, 0.0000
251, 0.2618, 0.0000
252, 0.2588, 0.0000
253, 0.2559, 0.0000
254, 0.2529, 0.0000
255, 0.2500, 0.0000
